time [s],425nm [mV],Channel 2-500nm [mV],Channel 3-610nm [mV]
12700,446.904,1220.2169999999999,1550.734
12720,522.2130000000001,1423.4589999999998,1806.421
12740,398.629,1081.066,1365.454
12760,479.505,1304.777,1649.671
12780,530.312,1445.973,1837.7420000000002
12800,498.49300000000005,1355.422,1716.161
12820,501.707,1370.027,1742.399
12840,729.88,2004.693,2570.601
12860,646.889,1765.89,2244.251
12880,652.602,1787.1,2278.23
12900,614.922,1681.211,2140.136
12920,666.673,1825.547,2328.677
12940,547.225,1492.76,1894.126
12960,502.93199999999996,1365.037,1725.8529999999998
12980,461.69300000000004,1252.172,1583.366
13000,565.15,1539.776,1954.682
13020,519.872,1414.6229999999998,1791.246
13040,445.94300000000004,1207.249,1520.4479999999999
13060,596.23,1626.229,2067.175
13080,529.616,1441.4979999999998,1831.279
13100,430.155,1163.435,1468.5539999999999
13120,478.916,1302.855,1655.266
13140,593.665,1614.108,2047.8370000000002
13160,567.029,1537.967,1944.4389999999999
13180,612.528,1665.3370000000002,2109.21
13200,617.578,1682.8470000000002,2137.63
13220,569.975,1546.786,1960.721
13240,508.60400000000004,1374.993,1732.8139999999999
13260,433.04699999999997,1168.375,1472.8139999999999
13280,440.407,1187.542,1492.124
13300,346.329,930.398,1166.2169999999999
13320,345.135,920.93,1147.208
13340,218.668,582.008,724.7230000000001
13360,176.31799999999998,469.892,590.413
13380,398.233,1064.56,1325.87
13400,542.984,1466.754,1852.095
13420,704.591,1908.75,2412.982
13440,144.291,381.923,480.356
13460,129.173,344.98900000000003,437.908
13480,258.594,685.9830000000001,849.066
13500,618.908,1670.9920000000002,2111.456
13520,722.8760000000001,1969.4160000000002,2508.354
13540,668.933,1822.5620000000001,2324.917
13560,629.0319999999999,1699.514,2151.0029999999997
13580,705.65,1915.1229999999998,2432.127
13600,730.6460000000001,1981.733,2515.337
13620,805.9860000000001,2196.765,2804.1079999999997
13640,874.972,2389.808,3049.567
13660,853.128,2325.013,2965.4240000000004
13680,821.002,2232.175,2835.498
13700,839.2310000000001,2285.304,2913.6440000000002
13720,839.045,2292.657,2930.489
13740,849.607,2305.615,2952.542
13760,853.541,2321.665,2962.7059999999997
13780,819.998,2231.576,2831.035
13800,827.6489999999999,2249.439,2853.2340000000004
13820,872.0260000000001,2372.9629999999997,3024.7709999999997
13840,831.304,2267.594,2884.1690000000003
13860,852.363,2326.183,2961.585
13880,849.2589999999999,2304.6279999999997,2940.145
13900,873.592,2380.54,3025.842
13920,871.637,2368.674,3018.1259999999997
13940,866.041,2357.471,2992.761
13960,872.71,2371.511,3022.027
13980,869.508,2364.511,3016.007
14000,740.3710000000001,2008.369,2555.647
14020,764.3580000000001,2076.545,2650.2540000000004
14040,466.814,1259.5839999999998,1586.37
14060,413.31300000000005,1110.5439999999999,1395.621
14080,660.05,1786.358,2272.458
14100,806.422,2191.062,2797.8590000000004
14120,845.32,2300.632,2941.43
14140,884.294,2400.408,3062.422
14160,876.811,2380.865,3033.2709999999997
14180,885.916,2405.536,3069.844
14200,883.868,2404.144,3056.579
14220,886.0060000000001,2408.552,3054.7259999999997
14240,883.4580000000001,2396.44,3049.6290000000004
14260,881.6,2389.925,3040.1420000000003
14280,881.515,2391.8179999999998,3042.781
14300,884.2869999999999,2396.386,3049.2470000000003
14320,887.971,2405.97,3055.58
14340,884.0060000000001,2397.222,3055.105
14360,886.4639999999999,2398.026,3050.695
14380,886.793,2404.17,3051.684
14400,887.959,2403.369,3054.938
14420,887.332,2401.993,3048.73
14440,886.047,2400.67,3050.728
14460,886.607,2400.78,3048.2790000000005
14480,888.247,2396.471,3050.9159999999997
14500,887.427,2395.625,3050.179
14520,886.748,2401.135,3051.886
14540,886.602,2400.0,3051.205
14560,888.875,2402.105,3052.2940000000003
14580,887.735,2405.489,3053.7290000000003
14600,890.684,2406.4139999999998,3056.6240000000003
14620,888.9939999999999,2402.491,3052.204
14640,889.39,2406.9570000000003,3053.672
14660,890.987,2408.869,3055.539
14680,888.4019999999999,2401.4210000000003,3050.153
14700,890.903,2406.762,3055.522
14720,890.164,2405.324,3052.657
14740,889.668,2408.137,3054.466
14760,890.0089999999999,2408.075,3057.0820000000003
14780,890.081,2403.407,3055.2740000000003
14800,889.37,2399.507,3052.5490000000004
14820,889.735,2404.444,3051.815
14840,889.59,2406.395,3055.7729999999997
14860,890.977,2406.263,3054.9120000000003
14880,892.127,2402.592,3051.355
14900,895.617,2417.161,3061.2129999999997
14920,890.939,2405.877,3052.99
14940,890.393,2407.541,3056.409
14960,895.822,2393.7889999999998,3054.328
14980,894.5010000000001,2407.2270000000003,3059.595
15000,893.2810000000001,2410.004,3057.26
15020,891.8639999999999,2403.875,3047.2259999999997
15040,891.311,2402.9829999999997,3055.375
15060,893.679,2406.933,3057.0429999999997
15080,893.528,2404.342,3050.506
15100,894.2080000000001,2409.427,3052.7540000000004
15120,892.1189999999999,2410.154,3057.344
15140,896.413,2410.708,3055.0959999999995
15160,894.692,2405.77,3051.2209999999995
15180,895.064,2412.41,3048.868
15200,896.559,2411.6679999999997,3057.11
15220,895.882,2406.275,3050.447
15240,897.045,2414.7889999999998,3065.295
15260,898.95,2417.991,3057.466
15280,892.813,2402.41,3032.5409999999997
15300,888.057,2388.3920000000003,3023.071
15320,887.0219999999999,2382.507,3020.461
15340,887.7230000000001,2384.584,3021.555
15360,889.85,2389.44,3024.893
15380,893.903,2402.5820000000003,3040.7
15400,895.545,2403.1020000000003,3039.5840000000003
15420,895.4019999999999,2403.7960000000003,3044.651
15440,896.919,2409.3289999999997,3049.929
15460,897.324,2408.998,3049.467
15480,895.576,2404.6639999999998,3045.781
15500,885.57,2377.863,3008.03
15520,884.707,2374.396,3005.6929999999998
15540,891.442,2391.97,3032.677
15560,882.0060000000001,2366.166,2992.344
15580,878.813,2357.19,2984.586
15600,884.02,2370.179,2995.613
15620,888.674,2386.53,3021.1740000000004
15640,897.3689999999999,2407.456,3048.864
15660,895.3710000000001,2403.984,3046.0640000000003
15680,899.112,2413.804,3053.3390000000004
15700,898.237,2401.853,3049.934
15720,893.178,2396.083,3029.547
15740,892.835,2399.571,3032.6459999999997
15760,894.2819999999999,2399.538,3036.406
15780,894.637,2398.52,3035.5640000000003
15800,892.706,2396.428,3031.893
15820,892.544,2392.967,3031.216
15840,892.186,2393.675,3028.8720000000003
15860,890.431,2391.81,3025.7129999999997
15880,884.166,2372.739,2997.57
15900,882.6569999999999,2367.027,2999.203
15920,872.703,2337.828,2960.994
15940,875.404,2350.242,2967.5240000000003
15960,871.387,2341.9570000000003,2956.562
15980,874.562,2345.681,2960.4509999999996
16000,878.06,2355.812,2976.921
16020,882.185,2364.738,2990.735
16040,883.672,2368.636,2995.865
16060,882.435,2365.0860000000002,2991.197
16080,882.194,2364.192,2991.028
16100,881.817,2362.554,2988.539
16120,883.78,2369.962,2996.7
16140,885.138,2371.504,2998.545
16160,881.2189999999999,2365.093,2982.85
16180,886.924,2373.431,3003.991
16200,885.081,2373.312,2999.17
16220,887.439,2378.8979999999997,3001.6420000000003
16240,888.045,2377.481,3007.19
16260,890.317,2387.474,3020.599
16280,891.5039999999999,2390.3179999999998,3020.11
16300,896.132,2399.3089999999997,3036.0440000000003
16320,897.684,2402.482,3036.3320000000003
16340,899.577,2409.26,3047.435
16360,901.225,2410.6,3048.1890000000003
16380,899.8660000000001,2411.635,3045.335
16400,899.1,2408.583,3046.384
16420,901.3389999999999,2419.403,3058.09
16440,904.875,2423.272,3062.248
16460,903.709,2421.572,3059.9640000000004
16480,905.414,2423.635,3065.4120000000003
16500,907.424,2428.553,3070.3190000000004
16520,906.296,2427.814,3071.663
16540,908.465,2432.969,3077.345
16560,909.169,2433.438,3076.9559999999997
16580,907.221,2431.455,3073.9590000000003
16600,906.6560000000001,2429.3520000000003,3070.514
16620,908.427,2431.91,3074.756
16640,908.918,2434.2129999999997,3076.038
16660,909.688,2434.485,3075.8190000000004
16680,910.878,2440.41,3080.518
16700,910.528,2438.71,3083.26
16720,910.587,2438.593,3082.364
16740,911.937,2440.243,3085.558
16760,912.454,2441.106,3087.475
16780,912.893,2441.99,3086.2670000000003
16800,912.044,2439.959,3085.337
16820,912.9760000000001,2444.317,3090.1479999999997
16840,913.262,2445.111,3089.6809999999996
16860,912.178,2446.0389999999998,3089.387
16880,913.055,2445.712,3092.37
16900,913.692,2444.651,3085.711
16920,913.165,2444.9610000000002,3086.302
16940,914.5,2445.893,3093.514
16960,914.6360000000001,2448.499,3087.857
16980,913.949,2445.853,3091.705
17000,914.748,2447.448,3086.05
17020,915.5419999999999,2445.526,3084.607
17040,914.025,2442.145,3086.1279999999997
17060,913.515,2446.034,3091.69
17080,915.051,2445.23,3089.127
17100,914.707,2445.7,3089.347
17120,915.923,2447.841,3089.344
17140,914.507,2444.716,3088.51
17160,914.9580000000001,2445.843,3088.114
17180,914.915,2445.221,3092.067
17200,914.342,2446.0029999999997,3087.73
17220,915.06,2446.62,3089.974
17240,915.68,2448.363,3091.2070000000003
17260,915.298,2445.0660000000003,3091.474
17280,915.332,2446.4629999999997,3086.696
17300,914.1469999999999,2446.6420000000003,3089.948
17320,914.5830000000001,2442.15,3084.5429999999997
17340,912.955,2439.756,3085.031
17360,911.3839999999999,2440.9339999999997,3082.9190000000003
17380,911.331,2433.226,3071.3390000000004
17400,906.932,2426.763,3065.638
17420,910.757,2430.351,3075.833
17440,910.8810000000001,2431.147,3070.762
17460,909.765,2430.79,3069.6609999999996
17480,907.55,2423.835,3060.05
17500,907.2489999999999,2422.5660000000003,3057.528
17520,911.181,2437.885,3078.132
17540,912.6260000000001,2438.099,3078.2509999999997
17560,912.1160000000001,2436.631,3074.906
17580,912.08,2437.694,3079.343
17600,913.16,2439.792,3079.829
17620,912.342,2436.237,3077.4190000000003
17640,913.808,2441.542,3082.211
17660,913.279,2440.8320000000003,3084.0440000000003
17680,914.633,2443.395,3084.6690000000003
17700,914.44,2441.4539999999997,3086.9959999999996
17720,916.0830000000001,2443.2129999999997,3086.948
17740,914.545,2444.797,3086.948
17760,915.179,2444.103,3086.3259999999996
17780,914.378,2442.5,3084.619
17800,913.672,2441.757,3082.81
17820,915.091,2445.1639999999998,3088.61
17840,914.1419999999999,2443.116,3082.027
17860,916.553,2445.364,3087.087
17880,913.165,2441.5660000000003,3082.2129999999997
17900,913.112,2439.349,3080.625
17920,912.061,2439.0029999999997,3079.8509999999997
17940,911.3960000000001,2436.092,3078.06
17960,905.2869999999999,2419.777,3056.567
17980,909.309,2429.464,3070.65
18000,909.252,2430.437,3068.8740000000003
18020,910.034,2430.799,3069.685
18040,907.5310000000001,2426.19,3063.5809999999997
18060,909.863,2430.384,3068.423
18080,911.8530000000001,2437.251,3080.688
18100,911.0210000000001,2436.473,3077.6240000000003
18120,909.1619999999999,2430.036,3067.837
18140,904.346,2421.303,3052.1440000000002
18160,905.697,2414.606,3053.5959999999995
18180,906.2769999999999,2418.077,3054.435
18200,902.8960000000001,2407.8320000000003,3039.446
18220,900.395,2404.776,3038.6
18240,901.937,2409.2270000000003,3043.3509999999997
18260,897.908,2400.31,3032.72
18280,897.758,2402.391,3034.613
18300,898.323,2398.481,3031.4159999999997
18320,898.416,2398.522,3029.275
18340,898.304,2398.841,3030.262
18360,892.375,2382.178,3007.052
18380,898.409,2394.094,3013.151
18400,743.475,1970.3129999999999,2464.244
18420,780.215,2068.5429999999997,2593.024
18440,822.294,2184.632,2745.566
18460,879.61,2347.167,2963.223
18480,870.54,2323.194,2933.259
18500,870.5310000000001,2324.285,2933.2070000000003
18520,868.7,2319.641,2929.118
18540,860.553,2294.419,2898.2259999999997
18560,865.545,2309.201,2916.527
18580,863.9689999999999,2306.201,2911.873
18600,855.415,2283.111,2880.759
18620,863.6469999999999,2305.298,2917.368
18640,837.209,2234.936,2820.401
18660,824.2130000000001,2201.078,2775.8379999999997
18680,822.821,2195.325,2766.03
18700,803.056,2141.774,2699.37
18720,799.172,2131.7670000000003,2683.9159999999997
18740,812.633,2168.815,2735.1279999999997
18760,839.2189999999999,2244.034,2835.906
18780,837.102,2231.488,2816.2290000000003
18800,840.242,2242.05,2830.083
18820,850.318,2269.056,2864.4320000000002
18840,838.1439999999999,2238.243,2821.7509999999997
18860,836.3910000000001,2231.445,2817.2709999999997
18880,812.2869999999999,2170.3320000000003,2738.025
18900,822.654,2194.679,2768.9959999999996
18920,803.924,2143.159,2697.611
18940,826.707,2202.48,2781.472
18960,810.7919999999999,2163.882,2725.153
18980,804.298,2142.365,2703.7740000000003
19000,806.31,2149.026,2710.9309999999996
19020,826.3639999999999,2199.2039999999997,2776.592
19040,830.5239999999999,2216.005,2796.2729999999997
19060,840.321,2241.0820000000003,2829.1459999999997
19080,838.3610000000001,2235.06,2821.762
19100,831.2339999999999,2220.206,2798.908
19120,847.237,2261.51,2852.8190000000004
19140,848.1030000000001,2264.452,2857.313
19160,838.757,2237.868,2824.349
19180,816.658,2178.874,2744.322
19200,832.2760000000001,2222.996,2804.823
19220,829.797,2212.665,2792.926
19240,841.1619999999999,2243.214,2833.8979999999997
19260,833.628,2223.194,2803.423
19280,830.1160000000001,2215.736,2797.02
19300,805.3969999999999,2148.976,2709.784
19320,826.48,2206.161,2784.603
19340,822.937,2195.363,2768.4640000000004
19360,826.8760000000001,2204.702,2784.8790000000004
19380,832.312,2220.686,2804.132
19400,846.0089999999999,2256.8179999999998,2849.262
19420,835.2330000000001,2231.445,2815.025
19440,820.477,2190.862,2765.164
19460,818.577,2185.426,2755.3390000000004
19480,767.572,2042.596,2567.663
19500,705.2560000000001,1876.092,2353.365
19520,771.63,2055.1420000000003,2589.428
19540,801.725,2140.675,2700.813
19560,711.682,1888.213,2365.8320000000003
19580,794.888,2120.514,2677.453
19600,717.9069999999999,1911.221,2398.574
19620,746.057,1991.1570000000002,2502.065
19640,713.42,1898.63,2388.1820000000002
19660,710.127,1892.4520000000002,2383.292
19680,683.053,1812.787,2269.649
19700,660.6080000000001,1755.862,2201.929
19720,677.2489999999999,1796.908,2251.596
19740,683.3580000000001,1816.404,2282.419
19760,704.7080000000001,1875.6870000000001,2360.306
19780,724.852,1928.1170000000002,2424.0370000000003
19800,751.188,2004.24,2532.5370000000003
19820,663.748,1761.1170000000002,2207.592
19840,642.552,1708.4360000000001,2144.473
19860,606.794,1608.229,2013.135
19880,649.347,1723.6660000000002,2158.6079999999997
19900,628.226,1668.21,2094.705
19920,628.932,1668.9779999999998,2092.712
19940,672.433,1787.009,2243.426
19960,640.945,1703.0120000000002,2141.001
19980,643.148,1706.0520000000001,2135.7110000000002
20000,587.714,1556.671,1946.411
20020,613.0219999999999,1629.8770000000002,2051.694
20040,632.3340000000001,1679.63,2105.279
20060,615.187,1631.255,2043.8029999999999
20080,665.529,1769.023,2220.826
20100,694.327,1849.692,2324.715
20120,629.232,1669.014,2088.501
20140,641.22,1703.246,2132.995
20160,689.123,1833.4479999999999,2304.604
20180,596.766,1581.378,1980.829
20200,716.302,1908.8410000000001,2403.846
20220,623.481,1654.892,2076.177
20240,571.26,1514.065,1893.487
20260,596.569,1582.7820000000002,1984.2120000000002
20280,583.7769999999999,1546.128,1931.5479999999998
20300,606.964,1612.2579999999998,2024.8339999999998
20320,629.451,1668.317,2093.248
20340,597.911,1585.977,1985.5639999999999
20360,573.375,1521.3629999999998,1909.03
20380,576.656,1534.395,1925.254
20400,568.993,1506.128,1883.1370000000002
20420,609.1619999999999,1616.271,2022.1660000000002
20440,661.9810000000001,1758.785,2209.239
20460,628.841,1671.691,2100.534
20480,713.801,1901.24,2390.945
20500,658.8960000000001,1755.421,2210.798
20520,708.4580000000001,1884.8629999999998,2371.824
20540,634.086,1685.45,2117.026
20560,661.066,1763.122,2221.1839999999997
20580,638.0219999999999,1695.645,2130.4539999999997
20600,635.6,1691.6129999999998,2128.646
20620,709.1519999999999,1891.239,2387.4970000000003
20640,631.487,1676.9579999999999,2099.616
20660,741.203,1980.922,2503.159
20680,689.416,1836.219,2312.31
20700,599.5509999999999,1593.75,1998.4029999999998
20720,588.014,1558.0079999999998,1945.1170000000002
20740,604.284,1607.28,2016.1529999999998
20760,636.239,1697.335,2137.096
20780,646.8530000000001,1724.484,2168.729
20800,650.2869999999999,1730.733,2174.156
20820,647.626,1725.285,2171.373
20840,673.6060000000001,1795.5020000000002,2260.141
20860,664.816,1776.285,2237.804
20880,605.643,1607.23,2010.365
20900,601.232,1597.4660000000001,1997.619
20920,677.5830000000001,1808.61,2282.731
20940,732.3810000000001,1957.3470000000002,2469.995
20960,758.8739999999999,2031.476,2570.801
20980,724.454,1938.362,2445.8360000000002
21000,635.221,1689.806,2119.348
21020,664.325,1769.469,2219.071
21040,676.3789999999999,1800.509,2262.792
21060,642.1759999999999,1711.865,2153.859
21080,624.821,1661.4370000000001,2083.259
21100,582.771,1546.431,1933.5439999999999
21120,453.825,1197.9389999999999,1491.2679999999998
21140,498.202,1319.5179999999998,1648.0420000000001
21160,380.204,997.684,1233.861
21180,352.967,926.1460000000001,1145.384
21200,419.536,1108.427,1380.808
21220,485.406,1288.974,1612.4679999999998
21240,452.209,1195.445,1487.7579999999998
21260,552.211,1467.1760000000002,1837.0079999999998
21280,576.565,1534.681,1924.1879999999999
21300,619.786,1651.0510000000002,2072.344
21320,707.6139999999999,1892.757,2385.464
21340,618.7180000000001,1649.485,2067.792
21360,577.247,1537.483,1924.66
21380,624.151,1664.829,2088.695
21400,601.063,1603.875,2009.63
21420,641.143,1712.01,2148.907
21440,686.44,1834.519,2312.927
21460,667.791,1782.7939999999999,2240.2070000000003
21480,631.807,1687.92,2119.57
21500,624.566,1667.109,2093.692
21520,625.401,1667.6660000000002,2091.572
21540,696.321,1861.727,2344.532
21560,707.123,1892.295,2384.88
21580,628.1759999999999,1676.14,2100.759
21600,595.214,1577.3729999999998,1963.4370000000001
21620,527.749,1390.915,1719.515
21640,397.212,1031.797,1255.72
21660,354.218,914.347,1107.702
21680,308.447,796.664,966.232
21700,384.548,1008.42,1237.7930000000001
21720,519.295,1378.5739999999998,1718.683
21740,725.653,1940.7839999999999,2441.573
21760,780.382,2098.217,2656.579
21780,696.177,1866.031,2350.845
21800,678.079,1812.6370000000002,2278.237
21820,714.19,1912.875,2411.06
21840,753.8989999999999,2025.349,2558.942
21860,742.497,1995.27,2519.658
21880,735.383,1975.524,2494.2110000000002
21900,726.0160000000001,1949.7320000000002,2461.817
21920,729.2460000000001,1959.5529999999999,2474.406
21940,720.687,1934.4879999999998,2442.026
21960,739.0930000000001,1986.484,2507.467
21980,763.073,2049.26,2582.738
22000,791.33,2130.651,2691.634
22020,800.8860000000001,2152.944,2722.4590000000003
22040,791.252,2129.958,2689.745
22060,788.5360000000001,2120.686,2678.816
22080,799.8539999999999,2151.7870000000003,2718.58
22100,794.5319999999999,2137.723,2698.255
22120,810.7660000000001,2181.485,2757.239
22140,817.347,2199.645,2780.75
22160,811.591,2181.656,2759.302
22180,832.529,2238.848,2830.653
22200,836.0269999999999,2251.7470000000003,2845.6740000000004
22220,844.0089999999999,2274.141,2875.13
22240,848.436,2283.9139999999998,2888.37
22260,849.2760000000001,2286.248,2892.857
22280,848.925,2286.077,2891.572
22300,852.587,2297.513,2903.2990000000004
22320,846.648,2282.474,2881.486
22340,847.4680000000001,2283.926,2887.3059999999996
22360,846.0239999999999,2280.55,2883.341
22380,842.762,2270.536,2873.428
22400,838.943,2257.075,2852.006
22420,842.2610000000001,2270.729,2869.048
22440,846.684,2282.815,2886.212
22460,854.2539999999999,2302.101,2913.6090000000004
22480,852.6560000000001,2297.3179999999998,2908.1040000000003
22500,853.562,2301.257,2914.953
22520,861.301,2323.172,2940.1040000000003
22540,854.824,2304.8070000000002,2914.9990000000003
22560,857.334,2314.141,2928.836
22580,851.7460000000001,2298.076,2906.563
22600,850.48,2293.985,2902.243
22620,850.31,2293.635,2903.123
22640,858.467,2317.502,2930.808
22660,860.112,2321.873,2936.4109999999996
22680,844.808,2280.741,2882.6209999999996
22700,836.2439999999999,2256.598,2848.864
22720,847.831,2287.757,2896.7909999999997
22740,860.033,2321.772,2940.364
22760,865.1610000000001,2337.4410000000003,2958.46
22780,866.5419999999999,2338.8979999999997,2960.763
22800,865.586,2336.8070000000002,2959.282
22820,864.2460000000001,2332.895,2952.9809999999998
22840,862.913,2331.397,2951.183
22860,858.4860000000001,2313.9210000000003,2931.678
22880,856.492,2313.156,2928.777
22900,850.7180000000001,2295.806,2907.2929999999997
22920,853.7510000000001,2306.447,2917.454
22940,853.932,2307.563,2922.111
22960,860.8889999999999,2326.45,2946.289
22980,864.6039999999999,2337.828,2960.925
23000,865.571,2344.012,2971.4970000000003
23020,863.14,2335.045,2957.506
23040,863.5189999999999,2337.861,2960.2
23060,857.82,2321.532,2942.302
23080,859.988,2324.474,2948.506
23100,854.852,2311.389,2924.244
23120,857.654,2318.654,2939.355
23140,856.066,2316.394,2935.844
23160,861.6419999999999,2328.415,2943.461
23180,489.20599999999996,1314.578,1649.382
23200,851.455,2300.401,2910.414
23220,841.825,2276.435,2886.5
23240,844.5260000000001,2286.053,2899.167
23260,839.9939999999999,2270.901,2881.72
23280,843.63,2280.147,2888.155
23300,844.1039999999999,2283.368,2888.219
23320,851.502,2304.969,2919.211
23340,841.6489999999999,2279.081,2889.3179999999998
23360,824.561,2233.663,2830.651
23380,824.444,2234.488,2832.055
23400,829.525,2249.651,2851.567
23420,835.7260000000001,2265.396,2874.3790000000004
23440,831.313,2254.133,2857.361
23460,824.692,2235.05,2834.292
23480,821.7189999999999,2227.855,2824.836
23500,829.442,2250.0370000000003,2856.679
23520,834.918,2266.271,2873.8190000000004
23540,840.447,2280.581,2892.4440000000004
23560,838.3610000000001,2275.283,2887.8070000000002
23580,840.2130000000001,2280.815,2895.591
23600,846.04,2293.422,2913.3509999999997
23620,845.573,2292.841,2909.136
23640,845.742,2301.471,2914.445
23660,845.852,2298.152,2915.099
23680,849.5039999999999,2305.417,2928.255
23700,855.062,2320.988,2949.5359999999996
23720,866.189,2349.2889999999998,2981.2290000000003
23740,825.825,2240.326,2839.551
23760,864.813,2349.501,2985.954
23780,863.3689999999999,2346.871,2980.44
23800,863.173,2347.097,2981.06
23820,863.0989999999999,2344.458,2979.45
23840,859.3960000000001,2340.245,2968.712
23860,862.617,2347.365,2981.5840000000003
23880,863.0319999999999,2345.603,2980.559
23900,860.748,2342.877,2976.6820000000002
23920,862.715,2346.5589999999997,2983.935
23940,863.988,2349.405,2986.5690000000004
23960,865.252,2355.084,2991.679
23980,862.927,2350.116,2984.133
24000,861.602,2346.396,2982.323
24020,860.565,2343.886,2975.4109999999996
24040,862.696,2349.384,2985.241
24060,857.716,2336.145,2970.486
24080,852.637,2322.667,2952.659
24100,852.232,2322.946,2953.691
24120,853.2189999999999,2325.301,2956.2309999999998
24140,847.38,2310.462,2935.138
24160,844.681,2299.74,2927.527
24180,844.209,2300.894,2926.3070000000002
24200,842.202,2299.542,2923.329
24220,824.828,2248.936,2856.4790000000003
24240,841.932,2297.13,2917.929
24260,844.712,2303.455,2928.2740000000003
24280,839.4580000000001,2290.864,2915.077
24300,833.895,2276.876,2896.841
24320,837.939,2288.744,2913.735
24340,838.113,2289.305,2912.228
24360,830.784,2270.317,2889.042
24380,832.4889999999999,2275.455,2897.6540000000005
24400,826.533,2259.076,2876.17
24420,823.553,2249.208,2861.6740000000004
24440,826.3639999999999,2257.8379999999997,2874.515
24460,822.015,2247.045,2861.283
24480,814.836,2227.166,2836.008
24500,814.328,2226.152,2834.3320000000003
24520,798.39,2184.4429999999998,2778.578
24540,812.1469999999999,2220.113,2823.8540000000003
24560,811.7510000000001,2221.6420000000003,2827.191
24580,807.0369999999999,2211.018,2813.802
24600,799.654,2188.044,2782.5359999999996
24620,805.3760000000001,2207.0,2810.688
24640,804.613,2205.007,2809.782
24660,806.8589999999999,2209.902,2814.968
24680,800.939,2193.499,2795.52
